statement_id,domain,stem_no,stem_name,statement_text_en,statement_type,median,p30,p70,interpretation,soq_option,soq_pct,decision_item_id,scenario_flags,expected_system_action,source_locator
Q1,indication,1,Magnetic field strength requirements for MRI,"The 3T and 1.5T MRIs are equally recommended for prostate cancer diagnosis, irrespective of the type of MRI scheduled (multiparametric vs biparametric).",likert,8,7,8,Consensus agree,,,d_accept_any_field_strength,quality_adequate,endorse,Table 1 (Q1)
Q4a,indication,2,PI-QUAL quality standards,All the MRI sequences should be checked for quality standards.,likert,9,9,9,Consensus agree,,,d_mri_quality_check,,endorse,Table 1 (Q4a)
Q4b,indication,2,PI-QUAL quality standards,All the MRI sequences should be checked for quality standards according to PI-QUAL V.2 scores.,likert,8,8,8,Consensus agree,,,d_use_piqual_v2,,endorse,Table 1 (Q4b)
Q5,indication,3,mpMRI vs bpMRI,"The bpMRI and mpMRI may be equally recommended for prostate cancer diagnosis, provided that image quality is adequate for decision-making.",likert,8,8,8,Consensus agree,,,d_bpmri_acceptable,quality_adequate,endorse,Table 1 (Q5)
Q6,indication,3,mpMRI vs bpMRI,The bpMRI could be informative enough for prostate cancer diagnosis in patients under an early detection cancer pathway (opportunistic screening).,likert,8,8,8,Consensus agree,,,d_bpmri_acceptable,bpmri|opportunistic_screening|quality_adequate,endorse,Table 1 (Q6)
Q7,indication,3,mpMRI vs bpMRI,The bpMRI could be informative enough for prostate cancer diagnosis in patients under an organised cancer screening pathway.,likert,8,8,8,Consensus agree,,,d_bpmri_acceptable,bpmri|organised_screening|quality_adequate,endorse,Table 1 (Q7)
Q8,indication,4,Number of lesions at MRI,"In case of multiple visible lesions, the maximal number of lesions to be reported should be (please, mark your best choice).",soq,,,,No consensus,3 lesions,53,d_report_max3_lesions,multiple_lesions,report_option,Table 1 (Q8)
Q10a,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at bpMRI, biopsy should be indicated by the result of an additional contrast-enhanced MRI sequence in case of a peripheral zone lesion.",likert,7,7,8,Consensus agree,,,d_contrast_mri_for_pz_indeterminate,indeterminate_lesion|bpmri|pz_lesion,endorse,Table 1 (Q10a)
Q10b,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at bpMRI, follow-up is needed.",likert,8,8,8,Consensus agree,,,d_followup_indeterminate_bpmri,indeterminate_lesion|bpmri,endorse,Table 1 (Q10b)
Q11,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at bpMRI, biopsy should be indicated by the result of PSA density.",likert,7,7,7,Consensus agree,,,d_psad_gate_bpmri_indeterminate,indeterminate_lesion|bpmri,endorse,Table 1 (Q11)
