rule_id,rule_set,severity,risk_type,n_trigger_flags_a,n_target_flags_b,rationale_first_sentence
mri_acquisition_quality_pathway,consensus,high,imaging_pathway,5,5,"ProBIOPSY consensus: every prostate MRI must be checked against PI-QUAL v2 quality criteria before the biopsy pathway is decided (Q4a median 9, Q4b median 8 — consensus agree);"
indeterminate_lesion_ancillary_workup,consensus,medium,ancillary_workup,8,10,"For an indeterminate lesion (PI-RADS 3), ProBIOPSY endorses PSAD as the primary gate to reduce unnecessary biopsies — for bpMRI (Q11 median 7) and even more strongly for mpMRI (Q14 median 8);"
negative_mri_high_suspicion_pathway,consensus,high,imaging_pathway,7,4,"ProBIOPSY: when MRI is negative but clinical suspicion remains high (abnormal DRE, persistently elevated PSA, strong family history, Black ethnicity, prior negative biopsy), a 12-core systematic biopsy is still endorsed…"
upfront_new_imaging_rejection,consensus,high,imaging_pathway,3,2,ProBIOPSY explicitly rejects PSMA PET/MRI as an upfront first-line biopsy-decision tool (Q17 median 2 — consensus disagree) and microultrasound as an upfront alternative to prostate MRI (Q20 median 2 — consensus disagree…
ai_mri_lesion_detection_aid,consensus,low,ai_decision_support,4,1,"ProBIOPSY endorses AI software as an aid to MRI lesion detection and characterization, with interpretation remaining the radiologist's responsibility (Q26 median 7 — consensus agree)."
advanced_disease_reduced_systematic_scheme,consensus,high,scheme_selection,4,2,"ProBIOPSY endorses a reduced (6-core) systematic scheme in advanced disease, where detection of any grade group confirms management rather than changing mapping precision (Q57 median 8 — consensus agree)."
systematic_template_selection,consensus,medium,scheme_selection,4,4,"ProBIOPSY endorses the 12-core systematic template as the standard when systematic cores are indicated (Q52 median 8 — consensus agree) and rejects the classical 6-core sextant template (Q51 median 3), the Ginsburg 4-6 c…"
targeted_core_count_adaptation,consensus,low,targeted_bx,5,2,"ProBIOPSY reached no consensus on a fixed targeted-core count: adapting the number of targeted cores to PI-RADS score was 'neither' (Q34 median 6), and the proposed minimum of 3 cores per target failed to reach consensus…"
perilesional_plbx_technique,consensus,low,targeted_bx,5,5,"ProBIOPSY adopts the term 'perilesional biopsy' for cores placed just outside the MRI lesion margin (Q37a — SOQ consensus), requires targeted cores to be placed within 10 mm of the lesion (Q38 — SOQ consensus), scales th…"
biopsy_scheme_by_lesion_distribution,consensus,medium,scheme_selection,5,5,ProBIOPSY endorses targeted + perilesional biopsy without contralateral systematic cores for a unifocal lesion (Q43 median 7 — consensus agree) and for multifocal ipsilateral disease reaching bilateral tissue adequacy is…
route_anaesthesia_prophylaxis,consensus,high,perioperative,4,5,ProBIOPSY endorses the transperineal route as the standard for prostate biopsy (Q58 — SOQ consensus) with periprostatic nerve block for both transrectal (Q59) and transperineal (Q60) approaches (both SOQ consensus).
treatment_planning_tissue_requirements,consensus,high,treatment_planning,6,10,"ProBIOPSY links biopsy scheme to downstream treatment intent: for focal therapy, targeted+perilesional alone is deemed insufficient and contralateral systematic biopsy must be added (Q65 median 7 — consensus agree);"
immunocompromised_or_infection_history,patient_factor,high,,1,2,"Infection risk factors (Q62 catalogue: immunosuppression, prior prostatitis, recent instrumentation, MRSA colonization, etc.) escalate the perioperative rule R11 — prefer the transperineal route and augmented prophylaxis…"
unfit_for_curative_treatment,patient_factor,medium,,2,1,Patients unfit for curative treatment shift the goal from mapping precision to confirmation — R06 reduced systematic scheme applies.
repeat_biopsy_setting,patient_factor,medium,,1,2,Prior negative biopsy with persisting suspicion raises sepsis risk on repeat access and keeps the 12-core template relevant (R03/R11 escalation).
suspicious_dre_without_mri_lesion,patient_factor,medium,,1,1,Abnormal DRE with negative MRI keeps clinical suspicion high — systematic 12-core biopsy per R03.
