entity_b_id,generic_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,narrow_therapeutic_index,label_source
d_mri_driven_pathway,Adopt MRI-driven diagnostic pathway,MRI先行路径,indication,endorsement_consensus|action_recommend|topic_imaging_pathway,recommend,Q1|Q5,0,ProBIOPSY Table 1
d_accept_any_field_strength,Accept 1.5T and 3T MRI equally for PCa diagnosis,场强不限,indication,endorsement_consensus|action_recommend|topic_imaging_pathway,recommend,Q1,0,ProBIOPSY Table 1
d_mri_quality_check,Perform formal MRI quality check on all sequences,影像质量核查,indication,endorsement_consensus|action_recommend|topic_imaging_pathway,recommend,Q4a|Q4b,0,ProBIOPSY Table 1
d_use_piqual_v2,Assess MRI quality with PI-QUAL v2 criteria,PI-QUAL评分,indication,endorsement_consensus|action_recommend|topic_imaging_pathway,recommend,Q4b,0,ProBIOPSY Table 1
d_bpmri_acceptable,Accept bpMRI as equivalent to mpMRI when quality adequate,双参数MRI等效,indication,endorsement_consensus|action_recommend|topic_imaging_pathway,recommend,Q5|Q6|Q7,0,ProBIOPSY Table 1
d_report_max3_lesions,Report up to 3 MRI lesions maximum (plurality choice),最多报告3个病灶,indication,endorsement_majority|action_conditional|topic_reporting,conditional,Q8,0,ProBIOPSY Table 1 (SOQ 53%)
d_contrast_mri_for_pz_indeterminate,Add contrast-enhanced MRI sequence for peripheral-zone indeterminate bpMRI lesion,外周带不确定性病灶加增强序列,indication,endorsement_consensus|action_recommend|topic_ancillary,recommend,Q10a,0,ProBIOPSY Table 1
d_followup_indeterminate_bpmri,Schedule follow-up imaging for indeterminate bpMRI lesion,不确定性病灶随访,indication,endorsement_consensus|action_recommend|topic_ancillary,recommend,Q10b,0,ProBIOPSY Table 1
d_psad_gate_bpmri_indeterminate,Use PSA density to gate biopsy for indeterminate bpMRI lesion,PSAD指导穿刺(bpMRI),indication,endorsement_consensus|action_recommend|topic_ancillary,recommend,Q11,0,ProBIOPSY Table 1
d_riskcalc_gate_bpmri_indeterminate,Use risk calculator to gate biopsy for indeterminate bpMRI lesion,风险计算器指导穿刺(bpMRI),indication,endorsement_neither|action_conditional|topic_ancillary,conditional,Q12,0,ProBIOPSY Table 1
d_biomarker_gate_bpmri_indeterminate,Use serum/urine biomarkers to gate biopsy for indeterminate bpMRI lesion,标志物指导穿刺(bpMRI),indication,endorsement_neither|action_conditional|topic_ancillary,conditional,Q13,0,ProBIOPSY Table 1
d_psad_gate_mpmri_indeterminate,Use PSA density to gate biopsy for indeterminate mpMRI lesion,PSAD指导穿刺(mpMRI),indication,endorsement_consensus|action_recommend|topic_ancillary,recommend,Q14,0,ProBIOPSY Table 1
d_riskcalc_gate_mpmri_indeterminate,Use validated risk calculator to gate biopsy for indeterminate mpMRI lesion,风险计算器指导穿刺(mpMRI),indication,endorsement_consensus|action_recommend|topic_ancillary,recommend,Q15,0,ProBIOPSY Table 1
d_biomarker_gate_mpmri_indeterminate,Use serum/urine biomarkers to gate biopsy for indeterminate mpMRI lesion,标志物指导穿刺(mpMRI),indication,endorsement_neither|action_conditional|topic_ancillary,conditional,Q16,0,ProBIOPSY Table 1
d_reject_psma_pet_upfront,Do NOT prefer PSMA PET over MRI for primary PCa diagnosis,不首选PSMA PET,indication,endorsement_against|action_against|topic_ancillary,against,Q17,0,ProBIOPSY Table 1
d_psma_pet_indeterminate_ancillary,Consider PSMA PET-CT as ancillary test for indeterminate MRI lesion,不确定性病灶PSMA PET,indication,endorsement_neither|action_conditional|topic_ancillary,conditional,Q18,0,ProBIOPSY Table 1
d_psma_pet_negative_mri_ancillary,Consider PSMA PET-CT as ancillary test when MRI negative but suspicion high,MRI阴性高怀疑PSMA PET,indication,endorsement_consensus|action_recommend|topic_ancillary,recommend,Q19,0,ProBIOPSY Table 1
d_reject_microultrasound_upfront,Do NOT prefer micro-ultrasound over MRI for primary PCa diagnosis,不首选微超声,indication,endorsement_against|action_against|topic_ancillary,against,Q20,0,ProBIOPSY Table 1
d_reject_microultrasound_indeterminate,Do NOT use micro-ultrasound to indicate biopsy for indeterminate MRI lesion,不确定性病灶不用微超声,indication,endorsement_neither|action_conditional|topic_ancillary,conditional,Q21,0,ProBIOPSY Table 1
d_reject_microultrasound_negative_mri,Do NOT use micro-ultrasound when MRI negative but suspicion high,MRI阴性高怀疑不用微超声,indication,endorsement_neither|action_conditional|topic_ancillary,conditional,Q22,0,ProBIOPSY Table 1
d_sbx_negative_mri_high_suspicion,Perform systematic biopsy when MRI negative but csPCa suspicion high,MRI阴性高怀疑行系统穿刺,indication,endorsement_consensus|action_recommend|topic_scheme,recommend,Q25|Q55a,0,ProBIOPSY Table 1-2
d_ai_mri_lesion_aid,Use AI algorithms upfront to identify suspicious MRI lesions (radiologist aid),AI辅助读片,indication,endorsement_consensus|action_recommend|topic_ai,recommend,Q26,0,ProBIOPSY Table 1
d_tbx_cores_adapt_pirads,Adapt number of targeted cores per lesion to PI-RADS/Likert score,靶点针数按PI-RADS调整,procedure,endorsement_neither|action_conditional|topic_tbx_cores,conditional,Q34,0,ProBIOPSY Table 2
d_tbx_min3_cores,Target each visible MRI lesion with at least 3 cores (plurality choice),每病灶至少3针,procedure,endorsement_majority|action_conditional|topic_tbx_cores,conditional,Q35|Q36,0,ProBIOPSY Table 2 (SOQ 66-68%)
d_adopt_term_perilesional,Adopt 'perilesional biopsy' as term for extra cores around the ROI,采用瘤周穿刺术语,procedure,endorsement_consensus|action_report_only|topic_plbx,report_only,Q37a,0,ProBIOPSY Table 2 (SOQ 97%)
d_plbx_within_10mm,Take perilesional cores within a 10-mm margin around the ROI,瘤周穿刺10mm范围,procedure,endorsement_consensus|action_recommend|topic_plbx,recommend,Q38,0,ProBIOPSY Table 2 (SOQ 82%)
d_plbx_count_by_lesion_size,Adjust perilesional core count according to MRI lesion size,瘤周针数按病灶大小调整,procedure,endorsement_consensus|action_recommend|topic_plbx,recommend,Q39,0,ProBIOPSY Table 2
d_plbx_2cores_small_lesion,Take 2 perilesional cores for lesions <10 mm (plurality choice),小病灶瘤周2针,procedure,endorsement_majority|action_conditional|topic_plbx,conditional,Q40,0,ProBIOPSY Table 2 (SOQ 67%)
d_plbx_max2cores_large_lesion,Take maximum 2 perilesional cores for lesions >10 mm,大病灶瘤周最多2针,procedure,endorsement_consensus|action_recommend|topic_plbx,recommend,Q41,0,ProBIOPSY Table 2 (SOQ 76%)
d_scheme_unifocal_tbx_plbx,Unifocal visible lesion: targeted biopsy + perilesional biopsy,单发病灶: TBx+PLBx,procedure,endorsement_consensus|action_recommend|topic_scheme,recommend,Q43,0,ProBIOPSY Table 2
d_scheme_unifocal_add_contralateral,Unifocal visible lesion: add contralateral biopsy,单发病灶加对侧穿刺,procedure,endorsement_neither|action_conditional|topic_scheme,conditional,Q44a|Q44,0,ProBIOPSY Table 2
d_scheme_unifocal_add_sbx,Unifocal visible lesion: add full systematic biopsy,单发病灶加系统穿刺,procedure,endorsement_against|action_against|topic_scheme,against,Q45,0,ProBIOPSY Table 2
d_scheme_ipsilateral_multifocal,Multifocal ipsilateral lesions: no consensus scheme (TBx+PLBx neither),同侧多发无共识方案,procedure,endorsement_neither|action_conditional|topic_scheme,conditional,Q46a|Q46b|Q47a|Q47|Q48,0,ProBIOPSY Table 2
d_scheme_bilateral_tbx_plbx,Multifocal bilateral lesions: targeted biopsy + perilesional biopsy,双侧多发: TBx+PLBx,procedure,endorsement_consensus|action_recommend|topic_scheme,recommend,Q49,0,ProBIOPSY Table 2
d_sbx_12core_template,Use 12-core (6 cores per lobe) systematic biopsy template,系统穿刺12针模板,procedure,endorsement_consensus|action_recommend|topic_sbx_template,recommend,Q52|Q55a,0,ProBIOPSY Table 2
d_reject_sextant_template,Do NOT use sextant (3 cores/lobe) template,不采用六分区模板,procedure,endorsement_against|action_against|topic_sbx_template,against,Q51,0,ProBIOPSY Table 2
d_reject_ginsburg_template,Do NOT use Ginsburg (>=12 cores/lobe) template,不采用Ginsburg模板,procedure,endorsement_against|action_against|topic_sbx_template,against,Q53|Q55b,0,ProBIOPSY Table 2
d_reject_saturation_bx,Do NOT use saturation biopsy (24 cores / 0.5mm),不采用饱和穿刺,procedure,endorsement_against|action_against|topic_sbx_template,against,Q54|Q56,0,ProBIOPSY Table 2
d_sbx_reduced_6core_advanced,"Reduce SBx to max 6 cores for suspected locally advanced disease, PSA>50, or unfit for curative treatment",局部晚期减针至6针,procedure,endorsement_consensus|action_recommend|topic_sbx_template,recommend,Q57,0,ProBIOPSY Table 2
d_route_transperineal,Use transperineal approach as standard route,经会阴入路,procedure,endorsement_consensus|action_recommend|topic_route,recommend,Q58,0,ProBIOPSY Table 2 (SOQ 97%)
